,filename,cycle,sound,location
168,normal__201105011626.wav,17,S1,328885
169,normal__201105011626.wav,17,S2,338355
170,normal__201105011626.wav,18,S1,347826
171,normal__201105011626.wav,18,S2,360740
172,normal__201105011626.wav,19,S1,381403
173,normal__201105011626.wav,19,S2,389151
174,normal__201105021654.wav,1,S1,24481
175,normal__201105021654.wav,1,S2,39781
176,normal__201105021654.wav,2,S1,79563
177,normal__201105021654.wav,2,S2,94863
178,normal__201105021654.wav,3,S1,126229
179,normal__201105021654.wav,3,S2,140765
180,normal__201105021654.wav,4,S1,169836
181,normal__201105021654.wav,4,S2,185136
182,normal__201105021654.wav,5,S1,215737
183,normal__201105021654.wav,5,S2,230273
184,normal__201105021654.wav,6,S1,270054
185,normal__201105021654.wav,6,S2,284590
186,normal__201105021654.wav,7,S1,327431
187,normal__201105021654.wav,7,S2,342732
188,normal__201105021804.wav,1,S1,24107
189,normal__201105021804.wav,1,S2,35299
190,normal__201105021804.wav,2,S1,50796
191,normal__201105021804.wav,2,S2,61128
192,normal__201105021804.wav,3,S1,75764
193,normal__201105021804.wav,3,S2,86095
194,normal__201105021804.wav,4,S1,101593
195,normal__201105021804.wav,4,S2,112785
196,normal__201105021804.wav,5,S1,128282
197,normal__201105021804.wav,5,S2,139475
198,normal__201105021804.wav,6,S1,154972
199,normal__201105021804.wav,6,S2,165303
200,normal__201105021804.wav,7,S1,180800
201,normal__201105021804.wav,7,S2,190271
202,normal__201105021804.wav,8,S1,204907
203,normal__201105021804.wav,8,S2,216961
204,normal__201105021804.wav,9,S1,229875
205,normal__201105021804.wav,9,S2,240206
206,normal__201105021804.wav,10,S1,254843
207,normal__201105021804.wav,10,S2,265174
208,normal__201105021804.wav,11,S1,281532
209,normal__201105021804.wav,11,S2,291003
210,normal__201105021804.wav,12,S1,306500
211,normal__201105021804.wav,12,S2,315970
212,normal__201105021804.wav,13,S1,331467
213,normal__201105021804.wav,13,S2,341799
214,normal__201105021804.wav,14,S1,356435
215,normal__201105021804.wav,14,S2,368489
216,normal__201105021804.wav,15,S1,382264
217,normal__201105021804.wav,15,S2,390873
218,normal__201105151450.wav,1,S1,26679
219,normal__201105151450.wav,1,S2,40379
220,normal__201105151450.wav,2,S1,56964
221,normal__201105151450.wav,2,S2,71385
222,normal__201105151450.wav,3,S1,90853
223,normal__201105151450.wav,3,S2,105275
224,normal__201105151450.wav,4,S1,124743
225,normal__201105151450.wav,4,S2,138443
226,normal__201105151450.wav,5,S1,157912
227,normal__201105151450.wav,5,S2,171612
228,normal__201105151450.wav,6,S1,193965
229,normal__201105151450.wav,6,S2,206223
230,normal__201105151450.wav,7,S1,227855
231,normal__201105151450.wav,7,S2,242276
232,normal__201105151450.wav,8,S1,263907
233,normal__201105151450.wav,8,S2,278003
234,normal__201105151450.wav,9,S1,299239
235,normal__201105151450.wav,9,S2,313660
236,normal__201106111136.wav,1,S1,19943
237,normal__201106111136.wav,1,S2,33239
238,normal__201106111136.wav,2,S1,56506
239,normal__201106111136.wav,2,S2,66953
240,normal__201106111136.wav,3,S1,87846
241,normal__201106111136.wav,3,S2,101142
242,normal__201106111136.wav,4,S1,122510
243,normal__201106111136.wav,4,S2,136280
244,normal__201106111136.wav,5,S1,159073
245,normal__201106111136.wav,5,S2,169044
246,normal__201106111136.wav,6,S1,189938
247,normal__201106111136.wav,6,S2,201809
248,normal__201106141148.wav,1,S1,21449
249,normal__201106141148.wav,1,S2,31349
250,normal__201106141148.wav,2,S1,47849
251,normal__201106141148.wav,2,S2,58299
252,normal__201106141148.wav,3,S1,73698
253,normal__201106141148.wav,3,S2,84698
254,normal__201106141148.wav,4,S1,100648
255,normal__201106141148.wav,4,S2,112197
256,normal__201106141148.wav,5,S1,128147
257,normal__201106141148.wav,5,S2,138047
258,normal__201106141148.wav,6,S1,154546
259,normal__201106141148.wav,6,S2,165546
260,normal__201106141148.wav,7,S1,181496
261,normal__201106141148.wav,7,S2,191395
262,normal__201106141148.wav,8,S1,208995
263,normal__201106141148.wav,8,S2,218345
264,normal__201106210943.wav,1,S1,5036
265,normal__201106210943.wav,1,S2,18466
266,normal__201106210943.wav,2,S1,40290
267,normal__201106210943.wav,2,S2,54839
268,normal__201106210943.wav,3,S1,73305
269,normal__201106210943.wav,3,S2,86735
270,normal__201106210943.wav,4,S1,106320
271,normal__201106210943.wav,4,S2,120310
272,normal__201106210943.wav,5,S1,141574
273,normal__201106210943.wav,5,S2,155004
274,normal__201106210943.wav,6,S1,172351
275,normal__201106210943.wav,6,S2,186341
276,normal__201106210943.wav,7,S1,207045
277,normal__201106210943.wav,7,S2,220475
278,normal__201106221418.wav,1,S1,26126
279,normal__201106221418.wav,1,S2,40194
280,normal__201106221418.wav,2,S1,60291
281,normal__201106221418.wav,2,S2,72349
282,normal__201106221418.wav,3,S1,93116
283,normal__201106221418.wav,3,S2,105844
284,normal__201106221418.wav,4,S1,123261
285,normal__201106221418.wav,4,S2,138669
286,normal__201106221418.wav,5,S1,155416
287,normal__201106221418.wav,5,S2,170154
288,normal__201106221418.wav,6,S1,191591
289,normal__201106221418.wav,6,S2,204319
290,normal__201106221418.wav,7,S1,224416
291,normal__201106221418.wav,7,S2,238484
292,normal__201106221418.wav,8,S1,262600
293,normal__201106221418.wav,8,S2,275328
294,normal__201106221450.wav,1,S1,2583
295,normal__201106221450.wav,1,S2,16358
296,normal__201106221450.wav,2,S1,38743
297,normal__201106221450.wav,2,S2,54240
298,normal__201106221450.wav,3,S1,74903
299,normal__201106221450.wav,3,S2,89539
300,normal__201106221450.wav,4,S1,111063
301,normal__201106221450.wav,4,S2,124838
302,normal__201106221450.wav,5,S1,147223
303,normal__201106221450.wav,5,S2,160998
304,normal__201106221450.wav,6,S1,184244
305,normal__201106221450.wav,6,S2,198880
306,normal__201106221450.wav,7,S1,221265
307,normal__201106221450.wav,7,S2,236762
308,normal__201106221450.wav,8,S1,258286
309,normal__201106221450.wav,8,S2,273784
310,normal__201106221450.wav,9,S1,296168
311,normal__201106221450.wav,9,S2,309944
312,normal__201106221450.wav,10,S1,331467
313,normal__201106221450.wav,10,S2,345243
314,normal__201106221450.wav,11,S1,366767
315,normal__201106221450.wav,11,S2,380542
316,normal__201108011112.wav,1,S1,25810
317,normal__201108011112.wav,1,S2,40993
318,normal__201108011112.wav,2,S1,63008
319,normal__201108011112.wav,2,S2,76672
320,normal__201108011112.wav,3,S1,98687
321,normal__201108011112.wav,3,S2,113110
322,normal__201108011112.wav,4,S1,135125
323,normal__201108011112.wav,4,S2,149548
324,normal__201108011112.wav,5,S1,170804
325,normal__201108011112.wav,5,S2,185227
326,normal__201108011112.wav,6,S1,207242
327,normal__201108011112.wav,6,S2,221665
328,normal__201108011112.wav,7,S1,244439
329,normal__201108011112.wav,7,S2,258104
330,normal__201108011112.wav,8,S1,279359
331,normal__201108011112.wav,8,S2,293783
332,normal__201108011112.wav,9,S1,315797
333,normal__201108011112.wav,9,S2,330221
334,normal__201108011114.wav,1,S1,22774
335,normal__201108011114.wav,1,S2,37197
336,normal__201108011114.wav,2,S1,67562
337,normal__201108011114.wav,2,S2,81986
338,normal__201108011114.wav,3,S1,112351
339,normal__201108011114.wav,3,S2,127534
340,normal__201108011114.wav,4,S1,157899
341,normal__201108011114.wav,4,S2,172322
342,normal__201108011114.wav,5,S1,202687
343,normal__201108011114.wav,5,S2,217870
344,normal__201108011114.wav,6,S1,247476
345,normal__201108011114.wav,6,S2,263417
346,normal__201108011114.wav,7,S1,292264
347,normal__201108011114.wav,7,S2,308206
348,normal__201108011115.wav,1,S1,23533
349,normal__201108011115.wav,1,S2,37197
350,normal__201108011115.wav,2,S1,59212
351,normal__201108011115.wav,2,S2,73635
352,normal__201108011115.wav,3,S1,95650
353,normal__201108011115.wav,3,S2,110074
354,normal__201108011115.wav,4,S1,132088
355,normal__201108011115.wav,4,S2,146512
356,normal__201108011115.wav,5,S1,168526
357,normal__201108011115.wav,5,S2,182191
358,normal__201108011115.wav,6,S1,204205
359,normal__201108011115.wav,6,S2,217870
360,normal__201108011115.wav,7,S1,239884
361,normal__201108011115.wav,7,S2,254308
362,normal__201108011115.wav,8,S1,276323
363,normal__201108011115.wav,8,S2,290746
364,normal__201108011115.wav,9,S1,312761
365,normal__201108011115.wav,9,S2,326425
366,normal__201108011118.wav,1,S1,7591
367,normal__201108011118.wav,1,S2,20496
368,normal__201108011118.wav,2,S1,37197
369,normal__201108011118.wav,2,S2,50862
370,normal__201108011118.wav,3,S1,66803
371,normal__201108011118.wav,3,S2,78949
372,normal__201108011118.wav,4,S1,95650
373,normal__201108011118.wav,4,S2,107796
374,normal__201108011118.wav,5,S1,124497
375,normal__201108011118.wav,5,S2,138161
376,normal__201108011118.wav,6,S1,154862
377,normal__201108011118.wav,6,S2,167008
378,normal__201108011118.wav,7,S1,183709
379,normal__201108011118.wav,7,S2,196614
380,normal__201108011118.wav,8,S1,213315
381,normal__201108011118.wav,8,S2,226220
382,normal__201108011118.wav,9,S1,241403
383,normal__201108011118.wav,9,S2,255826
384,normal__201108011118.wav,10,S1,272527
385,normal__201108011118.wav,10,S2,284673
386,normal__201108011118.wav,11,S1,300863
387,normal__201108011118.wav,11,S2,314279
388,normal__201108011118.wav,12,S1,330980
389,normal__201108011118.wav,12,S2,343126
